,1,2,3,4,5,6,7,8,9,10,15,20,25
0.001,0.99844,0.997056,0.996,0.99356,0.993376,0.993624,0.98836,0.988464,0.9846,0.986128,0.991016,0.96912,0.951096
0.012,0.988768,0.96332,0.95188,0.957952,0.910456,0.910776,0.902584,0.887472,0.87688,0.861488,0.79156,0.746224,0.681784
0.035,0.940352,0.912056,0.877496,0.857072,0.818816,0.768336,0.760536,0.74972,0.676264,0.617496,0.504176,0.400896,0.3764
0.058,0.89872,0.85324,0.818144,0.747064,0.711136,0.650728,0.601616,0.570008,0.4978,0.483304,0.352376,0.242224,0.1636
0.081,0.86876,0.798472,0.730384,0.697608,0.613568,0.55132,0.477712,0.45256,0.423904,0.358208,0.237944,0.150664,0.09044
0.104,0.831992,0.77652,0.689544,0.628328,0.52864,0.500952,0.439072,0.413432,0.34612,0.297928,0.171224,0.090616,0.045176
0.127,0.817328,0.728248,0.656336,0.568304,0.478768,0.4318,0.364336,0.326208,0.30384,0.23832,0.126096,0.049968,0.027952
0.15,0.784616,0.708136,0.601992,0.532528,0.432816,0.393616,0.30628,0.27384,0.204672,0.179584,0.062328,0.030768,0.015032
0.25,0.712712,0.597016,0.485936,0.382984,0.311728,0.243472,0.1874,0.144072,0.09436,0.09048,0.01936,0.003392,0.0018
0.35,0.634432,0.530736,0.40808,0.301672,0.217152,0.162064,0.1082,0.074072,0.057424,0.03348,0.005224,0.000576,1.69918332876e-16
0.5,0.594224,0.459008,0.362112,0.2374,0.163696,0.10236,0.069568,0.040216,0.026992,0.015224,0.000408,0.00012,-3.81376787789e-16
